intpus:(2570, 15, 8), targets:(2570, 1)
source input:(2570, 15, 8), source target:(2570, 1)
intpus:(209, 15, 8), targets:(209, 1)
target input:(209, 15, 8), target target:(209, 1)
/usr/local/miniconda/lib/python3.8/site-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
epoch:87, total loss:20.867778658866882, prediction loss:0.0019251437624916434, cross loss:20.747060477733612 lr:0.001, time:4.278083801269531
epoch:88, total loss:20.858683347702026, prediction loss:0.005503575783222914, cross loss:20.749121069908142 lr:0.001, time:4.295629024505615
epoch:89, total loss:20.9191877245903, prediction loss:0.06795594841241837, cross loss:20.747593343257904 lr:0.001, time:4.870886564254761
epoch:90, total loss:20.8619247674942, prediction loss:0.007324058562517166, cross loss:20.74760514497757 lr:0.001, time:4.815732002258301
epoch:91, total loss:20.86555153131485, prediction loss:0.010977891273796558, cross loss:20.74769878387451 lr:0.001, time:4.852224349975586
epoch:92, total loss:20.860907673835754, prediction loss:0.0035912729799747467, cross loss:20.747513473033905 lr:0.001, time:4.810476303100586
epoch:93, total loss:20.854577720165253, prediction loss:0.00603500148281455, cross loss:20.747896790504456 lr:0.001, time:4.830745697021484
epoch:94, total loss:20.852095782756805, prediction loss:0.0015049506910145283, cross loss:20.746627151966095 lr:0.001, time:4.844450235366821
epoch:95, total loss:20.86866122484207, prediction loss:0.005744125694036484, cross loss:20.747653603553772 lr:0.001, time:4.823431730270386
epoch:96, total loss:20.852551519870758, prediction loss:0.00303126429207623, cross loss:20.747883558273315 lr:0.001, time:4.831944942474365
epoch:97, total loss:20.856502771377563, prediction loss:0.0052582984790205956, cross loss:20.74714767932892 lr:0.001, time:4.864369869232178
epoch:98, total loss:20.848630487918854, prediction loss:0.004485001787543297, cross loss:20.747922241687775 lr:0.001, time:4.8287739753723145
epoch:99, total loss:20.85488110780716, prediction loss:0.0018245623214170337, cross loss:20.747034549713135 lr:0.001, time:4.834419250488281
epoch:100, total loss:20.86494606733322, prediction loss:0.004833850543946028, cross loss:20.74688595533371 lr:0.001, time:4.892004728317261
epoch:101, total loss:20.858672857284546, prediction loss:0.003220192389562726, cross loss:20.7468284368515 lr:0.001, time:4.873980522155762
epoch:102, total loss:20.847881317138672, prediction loss:0.0017815048340708017, cross loss:20.746805787086487 lr:0.001, time:4.922944784164429
epoch:103, total loss:20.844206035137177, prediction loss:0.0022488420363515615, cross loss:20.74694001674652 lr:0.001, time:4.932478189468384
epoch:104, total loss:20.8481143116951, prediction loss:0.002527054399251938, cross loss:20.74727064371109 lr:0.001, time:4.957265377044678
epoch:105, total loss:20.86164039373398, prediction loss:0.0021788994781672955, cross loss:20.747464537620544 lr:0.001, time:4.84314489364624
epoch:106, total loss:20.846629917621613, prediction loss:0.0016775568947196007, cross loss:20.74745386838913 lr:0.001, time:4.900348901748657
epoch:107, total loss:20.856390833854675, prediction loss:0.007309518288820982, cross loss:20.74695646762848 lr:0.001, time:4.920591592788696
epoch:108, total loss:20.848373353481293, prediction loss:0.0019769915379583836, cross loss:20.748351991176605 lr:0.001, time:4.962686538696289
epoch:109, total loss:20.849644780158997, prediction loss:0.001247047446668148, cross loss:20.746879994869232 lr:0.001, time:4.946969985961914
epoch:110, total loss:20.854729056358337, prediction loss:0.000647461973130703, cross loss:20.747202813625336 lr:0.001, time:4.968421220779419
epoch:111, total loss:20.844632625579834, prediction loss:0.0017261144239455462, cross loss:20.74736648797989 lr:0.001, time:4.895425796508789
epoch:112, total loss:20.84461683034897, prediction loss:0.002306060865521431, cross loss:20.747017741203308 lr:0.001, time:4.967955589294434
epoch:113, total loss:20.86096155643463, prediction loss:0.007960784249007702, cross loss:20.747318625450134 lr:0.001, time:4.96123743057251
epoch:114, total loss:20.838729739189148, prediction loss:0.0011378778144717216, cross loss:20.746973633766174 lr:0.001, time:4.934063673019409
epoch:115, total loss:20.846049189567566, prediction loss:0.0022054954897612333, cross loss:20.746685326099396 lr:0.001, time:4.92151951789856
epoch:116, total loss:20.84502285718918, prediction loss:0.0025111136492341757, cross loss:20.746504187583923 lr:0.001, time:4.943475008010864
epoch:117, total loss:20.849237322807312, prediction loss:0.0025339594576507807, cross loss:20.747363328933716 lr:0.001, time:4.81759238243103
epoch:118, total loss:20.849469006061554, prediction loss:0.002223800402134657, cross loss:20.747578263282776 lr:0.001, time:4.869840383529663
epoch:119, total loss:20.851113200187683, prediction loss:0.004683160223066807, cross loss:20.747305750846863 lr:0.001, time:4.848050117492676
epoch:120, total loss:20.852080047130585, prediction loss:0.002683670027181506, cross loss:20.748235881328583 lr:0.001, time:4.896657228469849
epoch:121, total loss:20.848705649375916, prediction loss:0.0020577230025082827, cross loss:20.746501564979553 lr:0.001, time:4.931650400161743
epoch:122, total loss:20.842347025871277, prediction loss:0.0011955188820138574, cross loss:20.746577978134155 lr:0.001, time:4.84252405166626
epoch:123, total loss:20.84540683031082, prediction loss:0.006490504834800959, cross loss:20.746320843696594 lr:0.001, time:4.904834747314453
epoch:124, total loss:20.845654785633087, prediction loss:0.002347636269405484, cross loss:20.74721586704254 lr:0.001, time:4.9048590660095215
epoch:125, total loss:20.847106099128723, prediction loss:0.0029647764749825, cross loss:20.74705934524536 lr:0.001, time:4.886259317398071
epoch:126, total loss:20.846573650836945, prediction loss:0.0016774950781837106, cross loss:20.747735679149628 lr:0.001, time:4.841650724411011
epoch:127, total loss:20.835398077964783, prediction loss:0.0025660376995801926, cross loss:20.74726527929306 lr:0.001, time:4.886183023452759
epoch:128, total loss:20.846812903881073, prediction loss:0.007689627353101969, cross loss:20.74707192182541 lr:0.001, time:4.915075063705444
epoch:129, total loss:20.841199815273285, prediction loss:0.0026618284173309803, cross loss:20.746719360351562 lr:0.001, time:4.863723993301392
epoch:130, total loss:20.83939963579178, prediction loss:0.0011123521253466606, cross loss:20.747089743614197 lr:0.001, time:4.821229934692383
epoch:131, total loss:20.847769379615784, prediction loss:0.0018928038189187646, cross loss:20.746674358844757 lr:0.001, time:4.8102686405181885
epoch:132, total loss:20.84437358379364, prediction loss:0.0039835963398218155, cross loss:20.746418178081512 lr:0.001, time:4.925122499465942
epoch:133, total loss:20.852937757968903, prediction loss:0.002226730575785041, cross loss:20.746449172496796 lr:0.001, time:4.8710832595825195
epoch:134, total loss:20.845149993896484, prediction loss:0.0010826655197888613, cross loss:20.746564149856567 lr:0.001, time:4.850269556045532
epoch:135, total loss:20.841595590114594, prediction loss:0.001883362652733922, cross loss:20.746386408805847 lr:0.001, time:4.799914121627808
epoch:136, total loss:20.84130209684372, prediction loss:0.0047231512144207954, cross loss:20.746518433094025 lr:0.001, time:4.891724109649658
epoch:137, total loss:20.842770159244537, prediction loss:0.0035471038427203894, cross loss:20.746625542640686 lr:0.001, time:4.818194627761841
epoch:138, total loss:20.844321370124817, prediction loss:0.0021023189183324575, cross loss:20.746176719665527 lr:0.001, time:4.829905033111572
epoch:139, total loss:20.840730726718903, prediction loss:0.0032859393395483494, cross loss:20.74599975347519 lr:0.001, time:4.819380760192871
epoch:140, total loss:20.84518128633499, prediction loss:0.00196469621732831, cross loss:20.746914386749268 lr:0.001, time:4.880068302154541
epoch:141, total loss:20.841317355632782, prediction loss:0.002681573387235403, cross loss:20.746329724788666 lr:0.001, time:4.8192102909088135
epoch:142, total loss:20.850385546684265, prediction loss:0.002235044725239277, cross loss:20.746435403823853 lr:0.001, time:4.826684474945068
epoch:143, total loss:20.88787269592285, prediction loss:0.06386155635118484, cross loss:20.746240615844727 lr:0.001, time:4.876155614852905
epoch:144, total loss:20.840973019599915, prediction loss:0.005549198482185602, cross loss:20.746570706367493 lr:0.001, time:4.825594663619995
epoch:145, total loss:20.838628470897675, prediction loss:0.004713356029242277, cross loss:20.746737837791443 lr:0.001, time:4.911717176437378
epoch:146, total loss:20.838754534721375, prediction loss:0.0011003072140738368, cross loss:20.746231973171234 lr:0.001, time:4.871671676635742
epoch:147, total loss:20.842197477817535, prediction loss:0.0015059789875522256, cross loss:20.746376156806946 lr:0.001, time:4.820207118988037
epoch:148, total loss:20.836613476276398, prediction loss:0.00420945743098855, cross loss:20.747065365314484 lr:0.001, time:4.979241371154785
epoch:149, total loss:20.839738070964813, prediction loss:0.0034903765190392733, cross loss:20.74612331390381 lr:0.001, time:4.879389524459839
epoch:150, total loss:20.843408584594727, prediction loss:0.002470674691721797, cross loss:20.747018456459045 lr:0.001, time:4.91102933883667
epoch:151, total loss:20.829765617847443, prediction loss:0.0016804233891889453, cross loss:20.746242940425873 lr:0.001, time:4.889514684677124
epoch:152, total loss:20.9000124335289, prediction loss:0.07347238063812256, cross loss:20.74593847990036 lr:0.001, time:4.850817680358887
epoch:153, total loss:20.83260291814804, prediction loss:0.002222912386059761, cross loss:20.746394872665405 lr:0.001, time:4.8642637729644775
epoch:154, total loss:20.845667779445648, prediction loss:0.0012339946115389466, cross loss:20.74594420194626 lr:0.001, time:4.82401967048645
epoch:155, total loss:20.847598433494568, prediction loss:0.0034209624864161015, cross loss:20.746083915233612 lr:0.001, time:4.902593374252319
epoch:156, total loss:20.829132556915283, prediction loss:0.0007264874293468893, cross loss:20.746497690677643 lr:0.001, time:4.850444078445435
epoch:157, total loss:20.831875264644623, prediction loss:0.001488134148530662, cross loss:20.74664980173111 lr:0.001, time:4.870002031326294
epoch:158, total loss:20.844420075416565, prediction loss:0.002914872718974948, cross loss:20.746777415275574 lr:0.001, time:4.8784825801849365
epoch:159, total loss:20.83417785167694, prediction loss:0.0024758651852607727, cross loss:20.74610263109207 lr:0.001, time:4.885262966156006
epoch:160, total loss:20.84374910593033, prediction loss:0.002556789666414261, cross loss:20.745915591716766 lr:0.001, time:4.910358905792236
epoch:161, total loss:20.83198243379593, prediction loss:0.000958654098212719, cross loss:20.74690306186676 lr:0.001, time:4.903303623199463
epoch:162, total loss:20.836615085601807, prediction loss:0.0041975765489041805, cross loss:20.746034264564514 lr:0.001, time:4.8784308433532715
epoch:163, total loss:20.835389852523804, prediction loss:0.0027073484379798174, cross loss:20.746486723423004 lr:0.001, time:4.845101594924927
epoch:164, total loss:20.84520012140274, prediction loss:0.003077693050727248, cross loss:20.746007204055786 lr:0.001, time:4.916975259780884
epoch:165, total loss:20.833670675754547, prediction loss:0.0020310431718826294, cross loss:20.74643361568451 lr:0.001, time:4.903923273086548
epoch:166, total loss:20.838452994823456, prediction loss:0.004117122385650873, cross loss:20.74613505601883 lr:0.001, time:4.895806074142456
epoch:167, total loss:20.839349925518036, prediction loss:0.004472165368497372, cross loss:20.747387886047363 lr:0.001, time:4.884278297424316
epoch:168, total loss:20.83329153060913, prediction loss:0.0008146907202899456, cross loss:20.74611485004425 lr:0.001, time:4.9005749225616455
epoch:169, total loss:20.839797258377075, prediction loss:0.0021414938382804394, cross loss:20.746125102043152 lr:0.001, time:4.831020832061768
epoch:170, total loss:20.83749431371689, prediction loss:0.0077090784907341, cross loss:20.745784521102905 lr:0.001, time:4.898981332778931
epoch:171, total loss:20.82929390668869, prediction loss:0.001891047926619649, cross loss:20.746248602867126 lr:0.001, time:4.8113226890563965
epoch:172, total loss:20.836354851722717, prediction loss:0.0035149739123880863, cross loss:20.745853662490845 lr:0.001, time:4.909402847290039
epoch:173, total loss:20.83678299188614, prediction loss:0.004097791388630867, cross loss:20.746759712696075 lr:0.001, time:4.991047620773315
epoch:174, total loss:20.830004513263702, prediction loss:0.0027150381356477737, cross loss:20.745805263519287 lr:0.001, time:4.9072864055633545
epoch:175, total loss:20.834149658679962, prediction loss:0.0011042006080970168, cross loss:20.74647605419159 lr:0.001, time:4.824289083480835
epoch:176, total loss:20.832092106342316, prediction loss:0.0008646633359603584, cross loss:20.746260941028595 lr:0.001, time:4.838749170303345
epoch:177, total loss:20.82906699180603, prediction loss:0.0011485728900879622, cross loss:20.746643602848053 lr:0.001, time:4.8761961460113525
epoch:178, total loss:20.837199866771698, prediction loss:0.0028753415681421757, cross loss:20.746094524860382 lr:0.001, time:4.8404622077941895
epoch:179, total loss:20.835277676582336, prediction loss:0.0027959116268903017, cross loss:20.74621284008026 lr:0.001, time:4.863650798797607
epoch:180, total loss:20.824845731258392, prediction loss:0.0023498497903347015, cross loss:20.745866239070892 lr:0.001, time:4.820645332336426
epoch:181, total loss:20.82721507549286, prediction loss:0.0008689178503118455, cross loss:20.745852828025818 lr:0.001, time:4.793775796890259
epoch:182, total loss:20.832531809806824, prediction loss:0.0006243173847906291, cross loss:20.74630069732666 lr:0.001, time:4.917207956314087
epoch:183, total loss:20.827508747577667, prediction loss:0.001436182763427496, cross loss:20.74603122472763 lr:0.001, time:4.814057350158691
epoch:184, total loss:20.83763486146927, prediction loss:0.0019449543906375766, cross loss:20.745639443397522 lr:0.001, time:4.8097310066223145
epoch:185, total loss:20.836782455444336, prediction loss:0.004038624465465546, cross loss:20.746100783348083 lr:0.001, time:4.905410528182983
epoch:186, total loss:20.82851368188858, prediction loss:0.0029098165687173605, cross loss:20.745978474617004 lr:0.001, time:4.813016176223755
epoch:187, total loss:20.83099067211151, prediction loss:0.00483037019148469, cross loss:20.745664060115814 lr:0.001, time:4.840484857559204
epoch:188, total loss:20.8390594124794, prediction loss:0.004282787442207336, cross loss:20.74634736776352 lr:0.001, time:4.809720993041992
epoch:189, total loss:20.830246031284332, prediction loss:0.0014034452615305781, cross loss:20.746157109737396 lr:0.001, time:4.819072008132935
epoch:190, total loss:20.82936191558838, prediction loss:0.0014702206244692206, cross loss:20.74640816450119 lr:0.001, time:4.859205722808838
epoch:191, total loss:20.833980977535248, prediction loss:0.0015297848731279373, cross loss:20.74575424194336 lr:0.001, time:4.8220295906066895
epoch:192, total loss:20.828335106372833, prediction loss:0.006381294224411249, cross loss:20.746151626110077 lr:0.001, time:4.865557909011841
epoch:193, total loss:20.819356322288513, prediction loss:0.0012605319498106837, cross loss:20.74603021144867 lr:0.001, time:4.9500892162323
epoch:194, total loss:20.83708220720291, prediction loss:0.0009125020587816834, cross loss:20.74604082107544 lr:0.001, time:4.2933807373046875
epoch:195, total loss:20.825044572353363, prediction loss:0.000999799813143909, cross loss:20.745730936527252 lr:0.001, time:4.878209352493286
epoch:196, total loss:20.833985030651093, prediction loss:0.0036018670070916414, cross loss:20.74610722064972 lr:0.001, time:4.86983060836792
epoch:197, total loss:20.826696455478668, prediction loss:0.0006846135365776718, cross loss:20.745611548423767 lr:0.001, time:4.86908745765686
epoch:198, total loss:20.821336686611176, prediction loss:0.0014723442727699876, cross loss:20.74593609571457 lr:0.001, time:4.8985137939453125
epoch:199, total loss:20.828063547611237, prediction loss:0.0033920486457645893, cross loss:20.7455872297287 lr:0.001, time:4.8491857051849365
epoch:200, total loss:20.821177005767822, prediction loss:0.001383215538226068, cross loss:20.74558675289154 lr:0.001, time:4.85122537612915
epoch:201, total loss:20.824428617954254, prediction loss:0.0006540294853039086, cross loss:20.74592113494873 lr:0.001, time:4.867769002914429
epoch:202, total loss:20.824002265930176, prediction loss:0.0009151290287263691, cross loss:20.745780766010284 lr:0.001, time:4.887536525726318
epoch:203, total loss:20.82811552286148, prediction loss:0.003294961992651224, cross loss:20.746368646621704 lr:0.001, time:4.8727052211761475
epoch:204, total loss:20.831361055374146, prediction loss:0.0034985903184860945, cross loss:20.746151447296143 lr:0.001, time:4.860007047653198
epoch:205, total loss:20.850496768951416, prediction loss:0.016491210088133812, cross loss:20.745760023593903 lr:0.001, time:4.86812686920166
epoch:206, total loss:20.831519424915314, prediction loss:0.0054838634096086025, cross loss:20.74644297361374 lr:0.001, time:4.839980602264404
epoch:207, total loss:20.828496754169464, prediction loss:0.0016209755558520555, cross loss:20.745948493480682 lr:0.001, time:4.965389251708984
epoch:208, total loss:20.829067766666412, prediction loss:0.003187421476468444, cross loss:20.74585473537445 lr:0.001, time:4.296168804168701
epoch:209, total loss:20.823550045490265, prediction loss:0.0013624770799651742, cross loss:20.74562841653824 lr:0.001, time:4.281134605407715
epoch:210, total loss:20.82567834854126, prediction loss:0.0017669957596808672, cross loss:20.745505154132843 lr:0.001, time:4.302897691726685
epoch:211, total loss:20.823769509792328, prediction loss:0.0009076072019524872, cross loss:20.745388627052307 lr:0.001, time:4.285181045532227
